,MRBID,r2,rmse
34,2427,-0.20209658451315948,37.25216670602001
37,6113,0.885356916091206,21.076047506958094
40,6234,0.6160693446018375,52.269832995689896
43,2423,0.8223873463394569,11.530774552525346
51,4426,0.8176985641893122,10.393853771165467
62,2415,0.6000231401637595,40.796235054540844
65,6103,0.6971154878662772,75.51509508362795
69,2404,0.893805633471977,10.834832555475009
84,4218,0.6631532406403025,38.01962103496047
89,4420,0.9217283253685625,7.834640313670779
95,6108,0.749126080909869,81.47830515691783
101,4119,0.7907672363092277,21.813505417981187
108,2429,0.34157368480072015,43.34319447351963
110,4222,0.820501532314551,25.804761013011067
116,6218,0.7917672840677077,36.75769732589142
119,6111,0.9291087820123677,13.433249981198356
120,6251,0.6849327161383307,25.930918026490232
124,6219,0.7333213069048206,11.23763261560226
125,6209,0.8338237287662098,38.842090258091176
126,4431,0.7330344650707964,27.70116815632727
129,4113,0.12123715706857219,120.44967307648906
138,4129,0.9356694369999804,17.98585976275808
139,4216,0.8888814022558854,7.5361056684817544
142,4416,0.8756178739372122,7.0138208716403545
151,4229,0.6924589322145418,39.749182743044635
153,2919,0.8272095493391833,14.254086213414412
157,4114,0.7137147809459917,83.50699843504812
159,4117,0.7741917403240929,27.512152337659828
165,4120,0.864464551076784,12.154151438583426
171,6258,0.32909152973119016,36.47211477655283
176,6227,0.7949080994905233,18.211139047016683
182,6239,0.8122749036449419,31.023574826691817
185,6112,0.8654850748169296,17.929526072716527
195,4401,0.6437376165286921,34.07812465030847
197,4211,0.8236304328683118,19.11701631748117
201,4210,0.8343963645029899,8.514402264684689
202,6222,0.815923128836557,25.481259875714805
209,4128,0.7022136151679017,39.476843727046926
218,6114,0.5434376419265985,36.86902371590568
219,2111,0.7359025765963286,34.69847703256008
220,6201,0.9117088789864664,8.19954236286067
221,4107,0.8982196859194416,20.603194702679414
224,4121,0.9166110259468168,11.261748276619866
226,4126,0.9495164439260958,6.035540321287361
230,2430,0.45999826858011783,56.24839337488232
238,4214,0.8672091690365229,10.100043796651281
241,6224,0.58444769525794,42.29163837790158
242,4418,0.7921859914100983,14.229189619019207
246,2903,0.8839331305147132,8.006487122277562
250,2110,0.7470798472557982,63.86915505446647
255,4116,0.9170142484263417,6.219699855581804
256,4413,0.8601943981740849,15.688148073670746
257,4103,0.8871871886910144,25.41541927739747
259,6213,0.9307339362681508,8.330718780919842
260,4106,0.872044999779805,22.401352551812746
262,4115,0.8785206555679106,12.279928967435223
265,6102,0.8902200968591557,7.8853513264471
273,4217,0.7547427273088723,26.89266155243277
274,2418,0.8439077403673874,22.31802527818615
275,4112,0.9069652802042598,7.7760844444171555
285,2112,0.9004450705273794,8.067120171454762
287,4104,0.8532647894012929,9.156472400057607
288,4130,0.2593968592355166,66.98338119799553
289,4430,0.6067911842618998,28.08048572520582
290,4428,0.8877755576881687,8.904040567521694
294,6214,0.8008045280243855,22.95878342451614
295,6255,0.9297618720981053,11.660906432001356
296,4427,0.8579720797313283,10.887906799417502
297,2911,0.7837377566505448,35.07047873369566
298,4111,0.8217166871841436,12.375961479888582
300,6223,0.8107138244840094,8.556774330854175
301,6229,0.8528511953369621,20.079228845826794
305,2413,0.9023187748664946,9.111073735966258
307,6220,0.8465853188486202,13.167881680492508
311,2107,0.5570258198000655,45.28212476460461
314,4236,0.8501535329443082,9.179608343230832
319,6212,-0.6162352022942506,47.87015689398996
