,MRBID,q_obs_trend_pct,q_recon_trend_pct
34,2427,-0.6564314194588224,-0.7655287770273176
37,6113,-0.10153785048367835,0.016135386112979683
40,6234,-0.5107360535159003,-0.3674294242837029
43,2423,-0.3947729763977475,-0.26686155421121827
51,4426,-0.09163753914825437,-0.13755602627576136
62,2415,-0.19358777149724435,-0.383605758238146
65,6103,0.12896587342133742,-0.12084863000291987
69,2404,-0.5958906599563482,-0.5466406232041261
84,4218,-0.24051533647871673,-0.3255166847015098
89,4420,-0.5533772598350533,-0.36108226659075027
95,6108,-0.2495169402321031,-0.2682217293775078
101,4119,0.5173335897724204,0.053622483609024274
108,2429,-0.5667725501552034,-0.6213875963763731
110,4222,0.16618062828043448,0.11635652254146153
116,6218,0.3257505289989699,0.2206224644348908
119,6111,0.2531828315230697,0.1465784898314689
120,6251,-0.09319316121278293,-0.0354544488892867
124,6219,0.3665079023222025,0.4554022508831526
125,6209,0.1651194099949501,0.03336149265216955
126,4431,0.16400357084671335,0.014800466517087281
129,4113,0.19417900001023444,-0.5591380369088332
138,4129,0.507187011122162,0.3571887008842578
139,4216,0.2214410589704829,0.1195494191607443
142,4416,-0.10601040272909135,-0.07967798473683715
151,4229,0.6792788860895158,0.1041950134442462
153,2919,-0.20273741029924505,-0.12753264198503778
157,4114,-0.3242589226562516,-0.45549205772692813
159,4117,-0.0821707110211219,-0.44092471597610616
165,4120,0.384284127298234,0.14185944572818193
171,6258,0.0034834941851857614,-0.3378150743830338
176,6227,0.3514598558771944,0.22134160217203613
182,6239,0.16998627487090803,-0.11810538717827881
185,6112,0.26003277934954533,0.01688589655978868
195,4401,0.17999816262659032,-0.015412832889834076
197,4211,-0.2641575843737004,-0.3005583750810573
201,4210,0.1408651081980204,-0.12158426469246346
202,6222,-1.2548209089498643,-0.7279745611543367
209,4128,0.015346774597936336,-0.28793975763743557
218,6114,-0.2324816405072961,-0.2573850057489439
219,2111,0.17536140555899338,0.026522755298573546
220,6201,-0.39556169312824296,-0.4251608744295152
221,4107,-0.07030115336405958,-0.1292780238099426
224,4121,-0.04940186714401046,0.06052546867829281
226,4126,0.18319347488921706,0.13368379233971933
230,2430,-1.5883235731620218,-0.3490116542228456
238,4214,-0.2296926298033612,-0.2807641532568052
241,6224,-0.8973641737709096,-0.43095902749607007
242,4418,-0.1914098863647909,-0.11500948253093829
246,2903,-0.5157212761817008,-0.14664042706332692
250,2110,0.1557889535438688,0.31605941061092535
255,4116,0.0857888627427578,0.03918519717645736
256,4413,-0.9576419477626016,-0.6521961381433856
257,4103,-0.6907599093587558,-0.7398230597522153
259,6213,0.00945557788126453,-0.0014752680544924607
260,4106,0.2778920038416233,0.19823028440283236
262,4115,-0.2833635809847014,-0.3252905689873013
265,6102,0.051640554004637414,-0.09411768528998549
273,4217,0.465026895774986,0.14214940245797678
274,2418,-1.6858837855344082,-1.5010134399490993
275,4112,0.3982671851109967,0.23274434907518754
285,2112,-0.9343713712239008,-0.7091993636369669
287,4104,0.4642511970172146,0.24982349619959726
288,4130,-0.4033727360780712,-0.41480384503100776
289,4430,-0.1786884191814825,-0.036773877733157524
290,4428,0.023518205183623433,-0.005659522188154606
294,6214,-0.39340536946650984,-0.2834226522508584
295,6255,0.4132275885527795,0.37786678077130764
296,4427,0.029686492178915103,-0.020747544697470942
297,2911,-1.2776102414828223,-1.128247677547492
298,4111,-0.26061062603705953,-0.44990737167715733
300,6223,-0.7938501238668575,-0.5004287650484073
301,6229,-0.05461350718290913,-0.09658525332302338
305,2413,0.3046998889479917,0.2556927367991474
307,6220,0.39657499103955207,0.2678148928919084
311,2107,-0.054613017212301586,-0.04279845581555805
314,4236,0.5989259111472882,0.3570354043806988
319,6212,-0.9068132119896714,-0.4454881046530119
321,6232,-1.1455541333292327,-0.8203145559276508
325,4110,0.21846158346023564,0.2692477199786091
329,2432,-1.679085988815392,-1.1531403829930276
330,6244,-0.3807599871156299,-0.4151564273225366
331,2901,-0.4683509578495869,-0.06811452280495905
335,6106,-0.5704176395605929,-0.5137624987600369
337,2101,0.7445708961679391,0.5964257116778492
340,4134,0.3071943285306178,0.11242132809588727
341,4408,-0.021867527983073967,-0.01600271400094025
342,4127,0.5231318439817502,0.3789634207422134
343,2913,-0.36110399167281587,-0.09879691856051069
344,4133,-0.13285835915196614,-0.37055297647792607
346,4102,0.4097641117997511,-0.10062870546218386
349,4245,-0.2913328654728487,-0.3224924165439178
354,6205,-1.0244834070098192,-0.7816725433789138
356,6241,-0.1826304583084378,-0.37152305073935465
358,2918,-1.2062841265493696,-0.9398994821860172
360,2920,-1.5739798773717453,-1.145223434929112
363,6105,-0.1895647130401578,-0.3685061605502914
364,4421,-0.4792405601180418,-0.36134893171515875
372,6221,-0.963039683556488,-0.905486526532223
376,4423,-0.46086231343218187,-0.24995749224723246
378,6210,-0.1945376512885435,-0.2697245048474753
382,4234,0.6088779340124694,0.3385953423274425
385,2102,-0.945214871115735,-0.803874505304699
386,4105,-0.25893417782703393,-0.28821517528783847
388,4207,0.5236976782113947,0.2721045901515876
393,4122,0.28136310351449023,0.24174578725926005
394,6243,-0.7813476919181799,-0.6169612243276792
398,4131,0.15493099207557254,-0.1723611709023209
400,4118,-0.195157383715926,-0.2715316759717976
401,4124,0.45811671340195687,0.3675668736924661
406,2113,-0.05400425582858116,-0.07295428333718015
412,6236,-0.8006054819651527,-0.43146335656994494
416,4414,-0.16269987075098624,-0.09296334067169484
420,2916,-0.3303821438770411,-0.17042130110071874
423,2912,-1.0341939771986324,-0.7150587879689443
424,4101,0.5387523595187651,0.35254462006805887
426,4108,0.23016444186359442,0.1483040929803477
428,4901,-1.2998812305275684,-1.0019058656575583
436,2115,0.1535016625558876,0.07993102690515919
437,2905,-0.2884826666218906,-0.11689194553743301
439,6242,-0.9291084063726139,-0.6174282308212162
441,2114,-0.10106810849929146,-0.1834906620967079
443,2402,0.11112586718685011,-0.054794668315084005
445,6902,-0.5028228191550081,-0.4601370989181434
446,6259,-0.6349512915117357,-0.5163260372167434
448,2917,-1.4747527397118594,-1.4815823973478695
450,2436,-1.3686210030087897,-0.7580463863106839
451,2109,-0.7012764394455449,-0.5161667440211051
452,2417,-2.067469579085874,-1.6286604615584352
453,2909,-0.6488576456627849,-0.4136895417222476
454,4410,0.21446945885877272,0.2222568310104146
455,2116,0.03565744137221677,0.19820553425486526
456,4132,-0.04646824294429879,-0.17147545912460546
457,2915,-1.5134526402820472,-1.0355495169108835
461,2319,-0.3308755450209914,-0.18474175240862478
462,6235,-0.4869520590197214,-0.41617883318251364
463,2104,-0.4087129001856136,-0.15567638352815266
464,4109,0.16520365992249827,-0.043555071246832
466,6107,-0.03374554131518107,0.017129596099732008
467,6109,-0.4320863446836503,-0.39375996617069275
469,2103,0.13389005416872568,0.2902741290234039
470,2906,-0.8759860819096172,-0.309095949726122
475,2910,-0.2072300154781164,0.030353052440682954
476,2310,-0.6019520910704352,-0.3201126982179114
478,6206,-1.5416770643419668,-1.1031005427458749
480,6204,-1.219847656333674,-1.0614264478213693
481,2302,-0.17845556702235393,-0.13221001976501362
483,2105,0.42465069608096395,0.5375148390490759
484,4405,-2.444157585335551,-1.7979311855071718
485,4406,-0.1345225901948662,-0.00826005356160523
486,4231,-2.728365467685511,-1.8138645100619364
489,2421,-1.2374953752623532,-0.9471427071828744
490,6202,-0.44931926204718686,-0.3432929526238356
492,4435,-0.15438300965831522,-0.18445959198686457
493,2309,-0.4649831600242049,-0.3055617778326395
494,2320,-0.6572536957030038,-0.2957678119765792
496,2434,-0.4254406185558642,-0.3078594218923536
498,2306,0.40212737247547836,0.393054876403203
499,4238,0.14891679121767945,0.2186515516330243
501,4125,0.7265661664801154,0.517840025902573
504,6903,-1.146234903701992,-0.78287038553286
505,2914,0.10043887474220538,0.029127918651022645
506,2902,-0.2811399948364902,-0.09277576039154313
507,2433,-0.4829947707835093,-0.3270383829106546
508,4123,0.09096023061220367,-0.1312222017173333
510,2401,-1.0184000863640499,-0.6310914765866275
511,2106,-0.40042631514814936,-0.3093821095569963
513,2117,-0.6306765209751288,-0.41870007335724857
515,2108,-0.296484941728983,-0.18856325351714606
516,4219,-0.19375247783656432,-0.2060394227719935
