lat,lon,model,snw_trend_pct
23.0,-105.0,ACCESS-CM2_r1i1p1f1,0.0
23.0,-105.0,BCC-CSM2-MR_r1i1p1f1,0.0
23.0,-105.0,CNRM-CM6-1_r1i1p1f2,0.0
23.0,-105.0,GFDL-CM4_r1i1p1f1,0.11718003852476575
23.0,-105.0,GFDL-ESM4_r1i1p1f1,-0.34309399929543605
23.0,-105.0,MRI-ESM2-0_r1i1p1f1,0.0
23.0,113.0,BCC-CSM2-MR_r1i1p1f1,0.0
23.0,113.0,CNRM-CM6-1_r1i1p1f2,0.0
23.0,113.0,GFDL-CM4_r1i1p1f1,-0.08184779797474978
23.0,113.0,GFDL-ESM4_r1i1p1f1,-5.764499016639161
23.0,113.0,IPSL-CM6A-LR_r1i1p1f1,0.0
23.0,113.0,MRI-ESM2-0_r1i1p1f1,0.0
25.0,-107.0,ACCESS-CM2_r1i1p1f1,0.0
25.0,-107.0,CNRM-CM6-1_r1i1p1f2,-0.1341392430870963
25.0,-107.0,GFDL-CM4_r1i1p1f1,-0.30018197045223355
25.0,-107.0,GFDL-ESM4_r1i1p1f1,4.515529332244112
25.0,-107.0,IPSL-CM6A-LR_r1i1p1f1,-2.2178703292849775e-07
25.0,-105.0,ACCESS-CM2_r1i1p1f1,0.0
25.0,-105.0,BCC-CSM2-MR_r1i1p1f1,0.0
25.0,-105.0,CNRM-CM6-1_r1i1p1f2,-0.5038103790262081
25.0,-105.0,CanESM5_r1i1p1f1,0.0
25.0,-105.0,GFDL-CM4_r1i1p1f1,0.3589325249332317
25.0,-105.0,GFDL-ESM4_r1i1p1f1,1.7523058304600512
25.0,-105.0,IPSL-CM6A-LR_r1i1p1f1,-2.1978054169829892e-07
25.0,-105.0,MIROC6_r1i1p1f1,0.0
25.0,-105.0,MRI-ESM2-0_r1i1p1f1,0.0
25.0,99.0,ACCESS-CM2_r1i1p1f1,0.0
25.0,99.0,BCC-CSM2-MR_r1i1p1f1,0.0
25.0,99.0,CNRM-CM6-1_r1i1p1f2,0.0
25.0,99.0,CanESM5_r1i1p1f1,0.0
25.0,99.0,GFDL-CM4_r1i1p1f1,0.1524201543703322
25.0,99.0,GFDL-ESM4_r1i1p1f1,-0.24582718543934012
25.0,99.0,IPSL-CM6A-LR_r1i1p1f1,0.0
25.0,99.0,MRI-ESM2-0_r1i1p1f1,0.0
25.0,101.0,ACCESS-CM2_r1i1p1f1,0.0
25.0,101.0,ACCESS-ESM1-5_r1i1p1f1,0.0
25.0,101.0,BCC-CSM2-MR_r1i1p1f1,0.0
25.0,101.0,CNRM-CM6-1_r1i1p1f2,4.8853018981827653e-05
25.0,101.0,CanESM5_r1i1p1f1,0.0
25.0,101.0,GFDL-CM4_r1i1p1f1,-0.06537445420128173
25.0,101.0,GFDL-ESM4_r1i1p1f1,0.3896195977717561
25.0,101.0,IPSL-CM6A-LR_r1i1p1f1,-0.00023304942417267584
25.0,101.0,MRI-ESM2-0_r1i1p1f1,0.0
25.0,101.0,NorESM2-LM_r1i1p1f1,0.0
25.0,103.0,ACCESS-CM2_r1i1p1f1,-0.0012981179626618605
25.0,103.0,ACCESS-ESM1-5_r1i1p1f1,0.0
25.0,103.0,BCC-CSM2-MR_r1i1p1f1,7.211993144210138e-05
25.0,103.0,CNRM-CM6-1_r1i1p1f2,-0.16471599928599673
25.0,103.0,CanESM5_r1i1p1f1,-0.5993259120037777
25.0,103.0,GFDL-CM4_r1i1p1f1,-0.038162749270219946
25.0,103.0,GFDL-ESM4_r1i1p1f1,-0.07046852098592986
25.0,103.0,IPSL-CM6A-LR_r1i1p1f1,-0.26027341214219357
25.0,103.0,MIROC6_r1i1p1f1,0.0
25.0,103.0,MRI-ESM2-0_r1i1p1f1,-0.00040512161818467173
25.0,103.0,NorESM2-LM_r1i1p1f1,0.0
25.0,105.0,ACCESS-CM2_r1i1p1f1,-0.056581114887317464
25.0,105.0,ACCESS-ESM1-5_r1i1p1f1,0.0
25.0,105.0,BCC-CSM2-MR_r1i1p1f1,0.0005547719728831883
25.0,105.0,CNRM-CM6-1_r1i1p1f2,-0.6269289633175155
25.0,105.0,CanESM5_r1i1p1f1,-0.36782659726528344
25.0,105.0,GFDL-CM4_r1i1p1f1,-0.007193953809581901
25.0,105.0,GFDL-ESM4_r1i1p1f1,-0.04922728360178602
25.0,105.0,IPSL-CM6A-LR_r1i1p1f1,-0.8747619954094491
25.0,105.0,MIROC6_r1i1p1f1,0.0
25.0,105.0,MRI-ESM2-0_r1i1p1f1,0.0
25.0,105.0,NorESM2-LM_r1i1p1f1,0.0
25.0,107.0,ACCESS-CM2_r1i1p1f1,-0.08258134382606401
25.0,107.0,ACCESS-ESM1-5_r1i1p1f1,0.0
25.0,107.0,BCC-CSM2-MR_r1i1p1f1,0.0
25.0,107.0,CNRM-CM6-1_r1i1p1f2,-0.3658743565705277
25.0,107.0,CanESM5_r1i1p1f1,-0.007416982662950061
25.0,107.0,GFDL-CM4_r1i1p1f1,-0.0041497155740236906
25.0,107.0,GFDL-ESM4_r1i1p1f1,-1.2601285506371152
25.0,107.0,IPSL-CM6A-LR_r1i1p1f1,-0.46198417694354954
25.0,107.0,MIROC6_r1i1p1f1,0.0
25.0,107.0,MRI-ESM2-0_r1i1p1f1,0.0
25.0,107.0,NorESM2-LM_r1i1p1f1,0.0
25.0,109.0,ACCESS-CM2_r1i1p1f1,0.0
25.0,109.0,ACCESS-ESM1-5_r1i1p1f1,0.0
25.0,109.0,BCC-CSM2-MR_r1i1p1f1,0.0
25.0,109.0,CNRM-CM6-1_r1i1p1f2,-0.4652186903841889
25.0,109.0,CanESM5_r1i1p1f1,-0.013148710070656123
25.0,109.0,GFDL-CM4_r1i1p1f1,0.08038059610366409
25.0,109.0,GFDL-ESM4_r1i1p1f1,-0.7510605770877619
25.0,109.0,IPSL-CM6A-LR_r1i1p1f1,-0.14347841601424235
25.0,109.0,MIROC6_r1i1p1f1,0.0
25.0,109.0,MRI-ESM2-0_r1i1p1f1,0.0
25.0,111.0,ACCESS-CM2_r1i1p1f1,-5.3089889916182e-05
25.0,111.0,ACCESS-ESM1-5_r1i1p1f1,0.0
25.0,111.0,BCC-CSM2-MR_r1i1p1f1,0.0
25.0,111.0,CNRM-CM6-1_r1i1p1f2,-0.73843838414323
25.0,111.0,CanESM5_r1i1p1f1,-0.011626297012711891
25.0,111.0,GFDL-CM4_r1i1p1f1,0.8094639759321531
25.0,111.0,GFDL-ESM4_r1i1p1f1,-1.402432840853395
25.0,111.0,IPSL-CM6A-LR_r1i1p1f1,-0.3710022831651562
25.0,111.0,MIROC6_r1i1p1f1,0.0
25.0,111.0,MRI-ESM2-0_r1i1p1f1,0.0
25.0,113.0,ACCESS-CM2_r1i1p1f1,-2.067562866437323e-05
25.0,113.0,ACCESS-ESM1-5_r1i1p1f1,0.0
25.0,113.0,BCC-CSM2-MR_r1i1p1f1,0.0
25.0,113.0,CNRM-CM6-1_r1i1p1f2,-0.5401923410203694
25.0,113.0,CanESM5_r1i1p1f1,0.0
25.0,113.0,GFDL-CM4_r1i1p1f1,-0.3330969204588704
25.0,113.0,GFDL-ESM4_r1i1p1f1,-1.1733697624809343
25.0,113.0,IPSL-CM6A-LR_r1i1p1f1,-0.23139077929024857
25.0,113.0,MIROC6_r1i1p1f1,0.0
25.0,113.0,MRI-ESM2-0_r1i1p1f1,0.0
25.0,117.0,ACCESS-CM2_r1i1p1f1,0.0
25.0,117.0,ACCESS-ESM1-5_r1i1p1f1,0.0
25.0,117.0,BCC-CSM2-MR_r1i1p1f1,0.0
25.0,117.0,CNRM-CM6-1_r1i1p1f2,-1.267076222865351
25.0,117.0,CanESM5_r1i1p1f1,0.0
