,MRBID,RIVER_BASI,mod_u_frac,iv_u_frac,swe_u_frac,tp_u_frac,source_max,source_col
34,2427,TENRYU,0.3033176810840846,0.19515421018416104,0.330231189865848,0.17129691886590628,swe_u_frac,#984ea3
37,6113,VARZUGA,0.4305899142932674,0.21028254939144456,0.1302857502433347,0.22884178607195338,mod_u_frac,#4daf4a
40,6234,NESTOS (also MESTA),0.3232959238294904,0.2931475779376348,0.2492587532508236,0.1342977449820511,mod_u_frac,#4daf4a
43,2423,MOGAMI,0.27140596686693536,0.215036460334018,0.3281064593790877,0.1854511134199589,swe_u_frac,#984ea3
51,4426,SKAGIT,0.2849385954375571,0.23466467481783315,0.3917212279939247,0.08867550175068502,swe_u_frac,#984ea3
62,2415,KITAKAMI,0.315181063432668,0.29754248351834295,0.19714072995588527,0.19013572309310378,mod_u_frac,#4daf4a
65,6103,KOVDA,0.5502957849964755,0.22905768034646043,0.05919060844809392,0.1614559262089702,mod_u_frac,#4daf4a
69,2404,CHIKUMA,0.23557649313497098,0.1945857883063629,0.23146508657958736,0.33837263197907885,tp_u_frac,#ff7f00
84,4218,MERRIMACK,0.40461183387228816,0.27919474525387333,0.25856423208087304,0.05762918879296538,mod_u_frac,#4daf4a
89,4420,ROGUE,0.39619036666109686,0.27002942455881107,0.25342605595138634,0.08035415282870578,mod_u_frac,#4daf4a
95,6108,PONOY,0.38882097020106726,0.2010315009329902,0.31802226665429245,0.09212526221165014,mod_u_frac,#4daf4a
101,4119,HORNADAY,0.2849552496652043,0.16739846890478802,0.3280951318213564,0.21955114960865113,swe_u_frac,#984ea3
108,2429,TONE,0.28629300531427315,0.21765440520321722,0.260082741099094,0.23596984838341567,mod_u_frac,#4daf4a
110,4222,NATASHQUAN,0.2669675545537667,0.14756044354406686,0.39090570410527803,0.19456629779688847,swe_u_frac,#984ea3
116,6218,IIJOKI,0.47483968397182935,0.2140171608938333,0.2334163306542493,0.07772682448008808,mod_u_frac,#4daf4a
119,6111,TANA,0.45032709465776777,0.2856859265527652,0.0924897053259167,0.17149727346355037,mod_u_frac,#4daf4a
120,6251,STRUMA RIVER,0.2663525679318984,0.26838731491272283,0.37554634035465106,0.08971377680072763,swe_u_frac,#984ea3
124,6219,KALIXALVEN,0.30626123306353,0.18558420367686285,0.4323346305001657,0.07581993275944146,swe_u_frac,#984ea3
125,6209,DRAMSELVA,0.3154768429733795,0.3644601270240923,0.18323094478798385,0.1368320852145445,iv_u_frac,#e41a1c
126,4431,TAKU,0.2722954700029897,0.2511906480193886,0.36488623844377244,0.11162764353384919,swe_u_frac,#984ea3
129,4113,ELLICE,0.3565115761862571,0.17759630282510974,0.2606529794822379,0.20523914150639522,mod_u_frac,#4daf4a
138,4129,RUPERT,0.2527126850876596,0.17977623744875365,0.23892140058529318,0.3285896768782936,tp_u_frac,#ff7f00
139,4216,LITTLE MECATINA,0.23406156996756639,0.1502372871717602,0.32761818993757513,0.2880829529230984,swe_u_frac,#984ea3
142,4416,NASS,0.221660570787589,0.27606502767202357,0.26350149208724166,0.23877290945314578,iv_u_frac,#e41a1c
151,4229,PENOBSCOT,0.36275019685701243,0.26722568817199516,0.30385290155529326,0.06617121341569922,mod_u_frac,#4daf4a
153,2919,YSYK-KOL (also ISSYK-KUL),0.3136304534381157,0.293495417478573,0.2869281610727837,0.10594596801052768,mod_u_frac,#4daf4a
157,4114,FERGUSON,0.271569284322817,0.23666495061136889,0.37168138542183,0.12008437964398423,swe_u_frac,#984ea3
159,4117,HAYES,0.36456875910077086,0.19553445404340816,0.21702077272808562,0.22287601412773542,mod_u_frac,#4daf4a
165,4120,HORTON,0.25426640430957936,0.16086737199921913,0.3935227966798139,0.19134342701138765,swe_u_frac,#984ea3
171,6258,VARDAR,0.23546706387331603,0.23936645125438594,0.4441582559000583,0.0810082289722397,swe_u_frac,#984ea3
176,6227,LULEALVEN,0.3796221077670279,0.29266822604739107,0.20000808384273927,0.12770158234284162,mod_u_frac,#4daf4a
182,6239,OULUJOKI,0.5082840003861387,0.23134991538938074,0.20636649320108788,0.05399959102339251,mod_u_frac,#4daf4a
185,6112,TULOMA,0.4087760073592593,0.20936317494639178,0.19275693046958,0.18910388722476887,mod_u_frac,#4daf4a
195,4401,ALSEK,0.24381857285681605,0.15043926153951626,0.5001947385830983,0.10554742702056942,swe_u_frac,#984ea3
197,4211,DELAWARE,0.4635518971506078,0.2901517748251885,0.19976050425798583,0.04653582376621783,mod_u_frac,#4daf4a
201,4210,CONNECTICUT,0.3735995067242206,0.282791527391824,0.2923644446392874,0.0512445212446682,mod_u_frac,#4daf4a
202,6222,KOKEMAENJOKI,0.3942127558669206,0.25901880359284973,0.2892860252211263,0.057482415319103364,mod_u_frac,#4daf4a
209,4128,QUOICH,0.23423730184822247,0.15722118152058356,0.4720438927511428,0.13649762388005124,swe_u_frac,#984ea3
218,6114,VYG,0.43095999760778636,0.19974422797923388,0.25941704036581614,0.10987873404716368,mod_u_frac,#4daf4a
219,2111,PALYAVAAM,0.32801628549735273,0.24967867337863411,0.23145569407607022,0.19084934704794299,mod_u_frac,#4daf4a
220,6201,ANGERMANALVEN,0.35222169985015805,0.2237455136366518,0.3683400749015108,0.05569271161167944,swe_u_frac,#984ea3
221,4107,"BALEINE, RIVIERE DE LA",0.3612816988313647,0.1960734868315948,0.22460449956763517,0.21804031476940525,mod_u_frac,#4daf4a
224,4121,KOBUK,0.29155125108451097,0.20433183823128123,0.4328388537183342,0.07127805696587351,swe_u_frac,#984ea3
226,4126,NOATAK,0.22820181988706326,0.20010924805522098,0.5122480663682637,0.05944086568945204,swe_u_frac,#984ea3
230,2430,TUMEN,0.4253288427663983,0.3052561798743006,0.13652082823258818,0.13289414912671285,mod_u_frac,#4daf4a
238,4214,HUDSON,0.3890393135440465,0.2801999737876656,0.25665057724839324,0.07411013541989478,mod_u_frac,#4daf4a
241,6224,KYMIJOKI,0.41078157969732265,0.2453134065696146,0.30629985457370473,0.03760515915935811,mod_u_frac,#4daf4a
242,4418,NUSHAGAK,0.32311985967126033,0.29436961420787205,0.3342478047196271,0.048262721401240445,swe_u_frac,#984ea3
246,2903,ATREK,0.30297878901639846,0.35379223478273075,0.2527921294822316,0.09043684671863918,iv_u_frac,#e41a1c
250,2110,OMOLOY,0.2292926147806359,0.21791395436431946,0.3914691852214478,0.1613242456335969,swe_u_frac,#984ea3
