MRBID,RIVER_BASI,n_swe_agree,n_tmean_agree
2427,TENRYU,0,4
6113,VARZUGA,4,4
6234,NESTOS (also MESTA),0,4
2423,MOGAMI,1,4
4426,SKAGIT,4,2
2415,KITAKAMI,0,4
6103,KOVDA,5,4
2404,CHIKUMA,1,4
4218,MERRIMACK,2,4
4420,ROGUE,3,4
6108,PONOY,3,4
4119,HORNADAY,3,4
2429,TONE,0,4
4222,NATASHQUAN,3,4
6218,IIJOKI,4,4
6111,TANA,4,4
6251,STRUMA RIVER,2,4
6219,KALIXALVEN,5,4
6209,DRAMSELVA,1,4
4431,TAKU,0,2
4113,ELLICE,2,4
4129,RUPERT,3,4
4216,LITTLE MECATINA,2,4
4416,NASS,0,4
4229,PENOBSCOT,3,4
2919,YSYK-KOL (also ISSYK-KUL),2,3
4114,FERGUSON,1,4
4117,HAYES,3,3
4120,HORTON,2,4
6258,VARDAR,1,4
6227,LULEALVEN,5,4
6239,OULUJOKI,1,4
6112,TULOMA,2,4
4401,ALSEK,1,4
4211,DELAWARE,3,4
4210,CONNECTICUT,2,4
6222,KOKEMAENJOKI,0,4
4128,QUOICH,2,4
6114,VYG,2,4
2111,PALYAVAAM,5,4
6201,ANGERMANALVEN,0,4
4107,"BALEINE, RIVIERE DE LA",0,4
4121,KOBUK,3,4
4126,NOATAK,4,4
2430,TUMEN,3,4
4214,HUDSON,3,4
6224,KYMIJOKI,0,4
4418,NUSHAGAK,1,2
2903,ATREK,1,4
2110,OMOLOY,4,4
4116,GEORGE,2,4
4413,KLAMATH,1,4
4103,ARNAUD,0,4
6213,GLOMAA,1,4
4106,"BALEINE, GRANDE RIVIERE DE LA",0,4
4115,FEUILLES,0,4
6102,KEM,3,4
4217,MANICOUAGAN,2,4
2418,LUAN HE,0,4
4112,EASTMAIN,3,4
2112,POPIGAY,1,4
4104,ATTAWAPISKAT,4,4
4130,SEAL,0,4
4430,SUSITNA,0,4
4428,STIKINE,0,2
6214,GOTA,0,4
6255,"TORNEALVEN (also TORNIONJOKI, also TORNIONVAYLA)",5,4
4427,SKEENA,0,4
2911,LAKE URMIA,0,4
4111,COPPERMINE,1,4
6223,KUBAN,0,4
6229,MARITSA RIVER,1,4
2413,KAMCHATKA,5,4
6220,KEMIJOKI,4,4
2107,NADYM,2,4
4236,SAINT JOHN (also SAINT-JEAN),2,4
6212,GARONNE (also RIO GARONA),2,4
6232,NARVA,0,4
4110,COLVILLE,3,4
2432,YALU RIVER,2,4
6244,SAKARYA,0,4
2901,ALAKOL,2,3
6106,ONEGA,1,4
2101,ALAZEYA,5,4
4134,WINISK,1,4
4408,COPPER,0,2
4127,NOTTAWAY,4,4
2913,TALAS,1,3
4133,THLEWIAZA,2,4
4102,ANDERSON,0,4
4245,SUSQUEHANNA,3,4
6205,DNIESTR,0,4
6241,PO,3,4
2918,UVS NUUR (also UBSU-NUR),2,4
2920,ZHEM (also EMBA),1,3
6105,MEZEN,2,4
4421,SACRAMENTO,2,4
6221,KIZILIRMAK,0,4
4423,SAN JOAQUIN,1,4
6210,EBRO,3,4
4234,SAGUENAY,2,4
2102,ANABAR,1,4
4105,BACK,1,4
4207,CHURCHILL,3,4
4122,LA GRANDE,1,4
6243,RHONE,0,4
4131,SEVERN,2,4
4118,HAYES,0,4
4124,MOOSE,2,4
2113,PUR,3,4
6236,ODER,0,4
4414,KUSKOKWIM,0,2
2916,ULUNGUR HU,3,4
2912,SARYSU,0,3
4101,ALBANY,5,4
4108,CANIAPISCAU,0,4
4901,GREAT SALT LAKE,1,4
2115,TAZ,3,4
2905,CHUY (also SHU),1,3
6242,RHINE,1,4
2114,PYASINA,3,4
2402,ANADYR,5,4
6902,KURA,0,4
6259,VISTULA,0,4
2917,URAL (also ORAL),0,4
2436,YONGDING HE,0,4
2109,OLENEK,1,4
2417,LIAO HE,2,4
2909,HAR US NUUR,2,4
4410,FRASER,4,2
2116,YANA,3,4
4132,THELON,3,4
2915,THORGAY,0,4
2319,SALWEEN,1,4
6235,NEVA,0,4
2104,KHATANGA,3,4
4109,CHURCHILL,3,4
6107,PECHORA,3,4
6109,SEVERNAYA DVINA,2,4
2103,INDIGIRKA,5,4
2906,HAMUN,1,4
2910,LAKE BALKHASH,4,3
2310,IRRAWADDY,0,4
6206,DON,0,4
6204,DNIEPER,0,4
2302,BRAHMAPUTRA,2,4
2105,KOLYMA,5,4
4405,COLORADO (also COLORADO RIVER),1,4
4406,COLUMBIA,4,4
4231,RIO GRANDE (also BRAVO),0,4
2421,MEKONG,1,4
6202,DANUBE,1,4
4435,YUKON,1,4
2309,INDUS,2,4
2320,SHATT AL ARAB,0,4
2434,YELLOW RIVER,2,4
2306,GANGES,4,4
4238,SAINT LAWRENCE (also SAINT-LAURENT),2,4
4125,NELSON,5,2
6903,VOLGA,1,4
2914,TARIM HE (also TALIMU HE),3,4
2902,ARAL SEA,1,4
2433,YANGTZE,1,4
4123,MACKENZIE,3,4
2401,AMUR,3,4
2106,LENA,3,4
2117,YENISEY,3,4
2108,OB,3,3
4219,MISSISSIPPI,3,4
