experiment,product,mod_obs_corr
HIST,ERA5-Land,0.2972959252598876
HIST,JRA-55,0.4333344722814677
HIST,MERRA-2,0.1271340109906022
HIST,Snow-CCI,0.2934230655028535
HIST,TerraClimate,0.38389443822033986
HIST,Ens. Mean,0.40129911548187164
HIST,In situ,0.36010465017368887
HIST-NAT,ERA5-Land,0.1571260704146231
HIST-NAT,JRA-55,0.1728261636063615
HIST-NAT,MERRA-2,0.07280981201388452
HIST-NAT,Snow-CCI,0.06905051917880789
HIST-NAT,TerraClimate,0.19359509829617136
HIST-NAT,Ens. Mean,0.1742533177859373
HIST-NAT,In situ,0.07565910221247447
